"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"
"2:36:00::"	"to"	"for"	"be"	"the"	"be_to"	"to_for"	"for_the"	"planning_division_be_to"	"be_to_for"	"to_for_the"	"for_the_future"	"NNP"	"VB"	"TO"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"state"	"in"	"its"	"simplest"	"terms"	"the"	"job"	"of"	"the"	"planning_division"	"be"	"to"	"plan"	"for"	"the"	"future"	"of"	"the"	"state"	"of"	"rhode_island"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"should"	"a"	"pastor"	"variety"	"pastor_should"	"should_a"	"a_variety"	"the_pastor_should"	"pastor_should_a"	"should_a_variety"	"a_variety_of"	"DT"	"NN"	"MD"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"conduct"	"the"	"membership_preparation-inquirers"	"the"	"pastor"	"should"	"plan"	"a"	"variety"	"of"	"teaching"	"techniques"	"in_order_to"	"develop"	"greater"	"interest"	"on"	"the"	"part"	"of"	"the"	"class"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"he"	"to"	"then"	"call"	"then_he"	"he_to"	"to_call"	",_then_he"	"then_he_to"	"he_to_call"	"to_call_a"	"ε"	"RB"	"PRP"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"city_council"	"fail"	"to"	"consider"	"appointment"	"of"	"a"	"cd"	"director"	"mr._hawksley"	"say"	"then"	"he"	"plan"	"to"	"call"	"a"	"meeting"	"early"	"in"	"september"	"so_that"	"a"	"civil_defense"	"organization"	"will"	"be"	"develop"	"locally"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"he"	"to"	"night"	"name"	"night_he"	"he_to"	"to_name"	"last_night_he"	"night_he_to"	"he_to_name"	"to_name_a"	"JJ"	"NN"	"PRP"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"governor_notte"	"say"	"night"	"he"	"plan"	"to"	"name"	"a"	"committee"	"to"	"make"	"the"	"study"	"and"	"come_up"	"with"	"recommendations"	"for"	"changes"	"in_time"	"for"	"the"	"next"	"session"	"of"	"the"	"general_assembly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"to"	"further"	"24"	"strategy"	"24_to"	"to_further"	"further_strategy"	"july_24_to"	"24_to_further"	"to_further_strategy"	"further_strategy_in"	"NNP"	"CD"	"TO"	"VB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mr._martinelli"	"say"	"yesterday"	"that"	"the"	"citizens"	"group"	"johnston"	"will"	"meet"	"again"	"july"	"to"	"plan"	"further"	"strategy"	"in"	"the"	"charter"	"movement"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"gayety"	"by"	"the"	"members"	"the_gayety"	"gayety_by"	"by_members"	"be_the_gayety"	"the_gayety_by"	"gayety_by_members"	"by_members_of"	"VB"	"DT"	"NN"	"VB"	"IN"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"night"	"in"	"new_orleans"	"the"	"gayety"	"plan"	"by"	"members"	"of"	"the"	"thrift_shop_committee"	"for"	"may"	"at"	"philmont"	"country_club"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"must"	"to"	"united_states"	"absorb"	"united_states_must"	"must_to"	"to_absorb"	"the_united_states_must"	"united_states_must_to"	"must_to_absorb"	"to_absorb_the"	"DT"	"NN"	"MD"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"must"	"plan"	"to"	"absorb"	"the"	"exported"	"goods"	"of"	"the"	"country"	"at"	"what"	"he"	"term"	"a"	"social"	"cost"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"are"	"a"	"mrs._paul_luette"	"luncheon"	"mrs._paul_luette_are"	"are_a"	"a_luncheon"	"and_mrs._paul_luette_are"	"mrs._paul_luette_are_a"	"are_a_luncheon"	"a_luncheon_next"	"CC"	"NNP"	"VBP"	"VB"	"DT"	"NN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mrs._j._edward_hackstaff"	"mrs._paul_luette"	"are"	"plan"	"a"	"luncheon"	"next"	"week"	"in"	"honor"	"of"	"mrs._j._clinton_bowman"	"who"	"celebrate"	"her"	"birthday"	"on"	"tuesday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"n't"	"meals"	"do"	"that"	"do_n't"	"n't_meals"	"meals_that"	"∅_do_n't"	"do_n't_meals"	"n't_meals_that"	"meals_that_be"	"ε"	"VBP"	"RB"	"VB"	"NNS"	"WDT"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"n't"	"plan"	"meals"	"that"	"be"	"too"	"complicated"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:01::"	"been"	"to"	"not"	"rival"	"not_been"	"been_to"	"to_rival"	"has_not_been"	"not_been_to"	"been_to_rival"	"to_rival_or"	"VBZ"	"RB"	"VBN"	"VB"	"TO"	"VB"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"new_english_bible"	"the"	"old_testament"	"and"	"apocrypha"	"will"	"be"	"publish"	"a"	"future"	"date"	"has"	"not"	"been"	"plan"	"to"	"rival"	"or"	"replace"	"the"	"king_james_version"	"but"	"as"	"its"	"cover"	"states"	"it"	"is"	"offer"	"simply"	"as"	"the"	"bible"	"to"	"all"	"those"	"who"	"will"	"use"	"it"	"in"	"reading"	"teaching"	"or"	"worship"	"0"	"0"	"0"	"0"	"0"	
