"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"
"1:04:00::"	"the"	"of"	"for"	"the"	"for_the"	"the_of"	"of_the"	"reason_for_the"	"for_the_of"	"the_of_the"	"of_the_ill-starred"	"NN"	"IN"	"DT"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_fact"	"one"	"of"	"the"	"reason"	"for"	"the"	"failure"	"of"	"the"	"ill-starred"	"expedition"	"appear"	"to"	"have"	"be"	"a"	"lack"	"of"	"full"	"information"	"on"	"the"	"extent"	"to"	"which"	"cuba"	"has"	"been"	"get"	"this"	"russian"	"military"	"equipment"	
"1:04:00::"	"by"	"to"	","	"consider"	",_by"	"by_to"	"to_consider"	"matter_,_by"	",_by_to"	"by_to_consider"	"to_consider_the"	"NN"	"ε"	"IN"	"NN"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"all_too"	"frequently"	"point_out"	"person"	"managing_editor"	"of"	"commonweal"	"catholic"	"run_roughshod"	"over"	"protestant"	"in"	"this"	"matter"	"by"	"failure"	"to"	"consider"	"the"	"reasoning"	"behind"	"the"	"protestant"	"position"	"particularly"	"by"	"their"	"jibe"	"at"	"the"	"fact"	"that"	"protestant"	"opinion"	"on"	"birth_control"	"has"	"change"	"in"	"recent"	"decade"	
"1:04:00::"	"or"	"in"	"success"	"learn"	"success_or"	"or_in"	"in_learn"	"of_success_or"	"success_or_in"	"or_in_learn"	"in_learn_to"	"IN"	"NN"	"CC"	"NN"	"IN"	"VB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"primary"	"grade"	"reading"	"permeate"	"almost"	"every"	"aspect"	"of"	"school"	"and"	"the"	"child"	"early"	"experience"	"of"	"success"	"or"	"failure"	"in"	"learn"	"to"	"read"	"often"	"set"	"a"	"pattern"	"of"	"total"	"achievement"	"that"	"be"	"relatively"	"enduring"	"throughout"	"the"	"following"	"year"	"0"	"0"	
"1:11:00::"	"``"	"''"	"("	")"	"(_``"	"``_''"	"''_)"	"''_(_``"	"(_``_''"	"``_''_)"	"''_)_,"	"ε"	"ε"	"ε"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"more"	"generally"	"suppose"	"that"	"an"	"experiment"	"consist_of"	"a"	"number"	"of"	"independent"	"trial"	"that"	"each"	"trial"	"result"	"in"	"either"	"a"	"success"	"a"	"non"	"success"	"failure"	"and"	"that"	"the"	"probability"	"of"	"success"	"remain"	"constant"	"from"	"trial"	"to"	"trial"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"``"	"''"	"a"	"("	"a_``"	"``_''"	"''_("	"or_a_``"	"a_``_''"	"``_''_("	"''_(_a"	"CC"	"DT"	"ε"	"NN"	"ε"	"ε"	"DT"	"experiment"	"to"	"qualify"	"as"	"a"	"binomial"	"experiment"	"it"	"must"	"have"	"four"	"property"	"there"	"must"	"be"	"a"	"fixed"	"number"	"of"	"trial"	"each"	"trial"	"must"	"result"	"in"	"a"	"success"	"or"	"a"	"failure"	"a"	"binomial"	"all"	"trial"	"must"	"have"	"identical"	"probability"	"of"	"success"	"the"	"trial"	"must"	"be"	"independent"	"of"	"each"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"a"	"."	"or"	"∅"	"or_a"	"a_."	"._∅"	"success_or_a"	"or_a_."	"a_._∅"	"._∅_∅"	"NN"	"CC"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"each"	"of"	"the"	"n"	"trial"	"either"	"a"	"success"	"or"	"a"	"failure"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"a"	"to"	"say"	"enact"	"say_a"	"a_to"	"to_enact"	",_say_a"	"say_a_to"	"a_to_enact"	"to_enact_it"	"ε"	"VB"	"DT"	"NN"	"TO"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"of"	"location"	"sponsor"	"of"	"bill"	"say"	"a"	"failure"	"to"	"enact"	"it"	"would"	"amount"	"to"	"make"	"a"	"gift"	"out_of"	"the"	"taxpayer"	"pocket"	"to"	"bank"	"insurance_company"	"and"	"pipeline_company"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"but"	"to"	","	"wonder"	",_but"	"but_to"	"to_wonder"	"observe_,_but"	",_but_to"	"but_to_wonder"	"to_wonder_at"	"VB"	"ε"	"CC"	"NN"	"TO"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"skeptic"	"may"	"deny"	"the"	"more"	"startling"	"phenomenon"	"of"	"as"	"thing"	"they"	"have"	"never"	"personally"	"observe"	"but"	"failure"	"to"	"wonder"	"at"	"their"	"basic"	"mystery"	"be"	"outright"	"avoidance"	"of"	"routine"	"evidence"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"old"	"whose"	"an"	"fit"	"an_old"	"old_whose"	"whose_fit"	"about_an_old"	"an_old_whose"	"old_whose_fit"	"whose_fit_of"	"IN"	"DT"	"JJ"	"NN"	"WP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"something"	"of"	"this"	"can"	"be"	"learn"	"from"	"the_way_to_the_churchyard"	"an"	"about"	"an"	"old"	"failure"	"whose"	"fit"	"of"	"anger"	"at"	"a"	"passing"	"cyclist"	"cause"	"him"	"to"	"die"	"of"	"a"	"stroke"	"or"	"seizure"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"a"	"in"	"be"	"the"	"be_a"	"a_in"	"in_the"	"saleslady_be_a"	"be_a_in"	"a_in_the"	"in_the_dress"	"NN"	"VB"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"be"	"a"	"failure"	"in"	"the"	"dress"	"department"	"and"	"was"	"transfer"	"to"	"the"	"shoe"	"department"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
