"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"
"4:02:09::"	"jeep"	"behind"	"a"	"the"	"a_jeep"	"jeep_behind"	"behind_the"	"in_a_jeep"	"a_jeep_behind"	"jeep_behind_the"	"behind_the_landrover"	"IN"	"DT"	"NN"	"RB"	"RB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"so"	"after"	"a"	"flight"	"southeast"	"to"	"location"	"find"	"ourselves"	"bounce"	"along"	"in"	"a"	"jeep"	"right"	"behind"	"the"	"landrover"	"of"	"person"	"of"	"location"	"a"	"tall"	"man"	"of"	"churchillian"	"mien"	"in"	"a"	"bush_jacket"	"and"	"a"	"ten-gallon_hat"	"from"	"texas"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"all"	"under"	"forfeit"	"this"	"forfeit_all"	"all_under"	"under_this"	"shall_forfeit_all"	"forfeit_all_under"	"all_under_this"	"under_this_title"	"MD"	"VB"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"in_addition"	"to"	"the"	"penalty"	"provide"	"in"	"title"	"united_states"	"code"	"section"	"any"	"person"	"guilty"	"of"	"any"	"act"	"as"	"provide"	"therein"	"with_respect_to"	"any"	"matter"	"under"	"this"	"title"	"shall"	"forfeit"	"right"	"under"	"this"	"title"	"and"	"if"	"payment"	"shall"	"have"	"been"	"make"	"or"	"grant"	"the"	"commission"	"shall"	"take"	"such"	"action"	"as"	"may"	"be"	"necessary"	"to"	"recover"	"the"	"same"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:09::"	"be"	"out"	"person"	"of"	"person_be"	"be_out"	"out_of"	",_person_be"	"person_be_out"	"be_out_of"	"out_of_the"	"ε"	"NNP"	"VB"	"RB"	"IN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"for"	"all"	"his"	"confidence"	"person"	"be"	"right"	"out"	"of"	"the"	"location"	"mold"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"be"	"."	"might"	"∅"	"might_be"	"be_."	"._∅"	"person_might_be"	"might_be_."	"be_._∅"	"._∅_∅"	"NNP"	"MD"	"VB"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and_then"	"he"	"person"	"might"	"be"	"right"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:01:proper:00"	"the"	"statement"	"exactly"	"."	"exactly_the"	"the_statement"	"statement_."	"find_exactly_the"	"exactly_the_statement"	"the_statement_."	"statement_._∅"	"VB"	"RB"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"miraculously"	"she"	"exactly"	"the"	"right"	"statement"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"come"	"up"	"manager"	"to"	"manager_come"	"come_up"	"up_to"	"location_manager_come"	"manager_come_up"	"come_up_to"	"up_to_the"	"NNP"	"NN"	"VB"	"RB"	"JJ"	"JJ"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"manager"	"come"	"right"	"up"	"to"	"the"	"dugout"	"in_front"	"of"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"``"	"''"	"of"	"and"	"of_``"	"``_''"	"''_and"	"code_of_``"	"of_``_''"	"``_''_and"	"''_and_``"	"NN"	"IN"	"ε"	"JJ"	"ε"	"CC"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"possible"	"the"	"study"	"of"	"literature"	"affect"	"the"	"conscience"	"morality"	"the"	"sensitivity"	"to"	"some"	"code"	"of"	"right"	"and"	"wrong"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"of"	"and"	"idea"	"wrong"	"idea_of"	"of_and"	"and_wrong"	"'s_idea_of"	"idea_of_and"	"of_and_wrong"	"and_wrong_;"	"POS"	"NN"	"JJ"	"JJ"	"CC"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"still"	"it"	"would"	"be"	"surprising"	"if"	"what"	"one"	"did"	"not"	"contribute"	"to"	"one"	"idea"	"of"	"right"	"and"	"wrong"	"certainly"	"the"	"awakened"	"alarm"	"over"	"the"	"comic_book"	"and"	"the"	"continuous"	"concern"	"over"	"prurient"	"literature"	"indicate"	"some"	"peripheral"	"aspect"	"of_this"	"influence"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"or"	"by"	"property"	"purchase"	"property_or"	"or_by"	"by_purchase"	"and_property_or"	"property_or_by"	"or_by_purchase"	"by_purchase_,"	"CC"	"NN"	"CC"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"acquire"	"secret"	"process"	"technical"	"data"	"invention"	"patent"	"application"	"patent"	"license"	"land"	"and"	"interest"	"in"	"land"	"include"	"water_right"	"plant"	"and"	"facility"	"and"	"or"	"right"	"by"	"purchase"	"license"	"lease"	"or"	"donation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"down"	"between"	"it"	"the"	"it_down"	"down_between"	"between_the"	"write_down_it_down"	"it_down_between"	"down_between_the"	"between_the_weekly"	"VB"	"PRP"	"RB"	"RB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"wife"	"describe"	"by"	"a"	"new_york"	"psychologist"	"so"	"dominate"	"her"	"husband"	"that"	"she"	"placed"	"their"	"sexual_relationship"	"on"	"a"	"schedule"	"write_down"	"it"	"down"	"right"	"between"	"the"	"weekly"	"group"	"meeting"	"and"	"the"	"thursday"	"night"	"neighborhood"	"card"	"party"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
