"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"
"2:40:00::"	"to"	"a"	"training"	"license"	"training_to"	"to_a"	"a_license"	"additional_training_to"	"training_to_a"	"to_a_license"	"a_license_as"	"JJ"	"NN"	"TO"	"VB"	"DT"	"NN"	"IN"	"0"	"to"	"become"	"an"	"orthodontist"	"a"	"man"	"must"	"first"	"be"	"license"	"by"	"his"	"state"	"as"	"a"	"dentist"	"then"	"he"	"must"	"spend"	"at_least"	"two"	"years"	"additional"	"training"	"acquire"	"a"	"license"	"as"	"a"	"specialist"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"us"	"a"	"of"	"swimming_pool"	"of_us"	"us_a"	"a_swimming_pool"	"each_of_us"	"of_us_a"	"us_a_swimming_pool"	"a_swimming_pool_-"	"DT"	"IN"	"PRP"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"a"	"good"	"eight"	"now"	"since"	"each"	"of"	"us"	"acquire"	"a"	"swimming_pool"	"eight"	"enlightening"	"vigorous"	"rigorous"	"not"	"wholly"	"unrewarding"	"years"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"first"	"a"	"you"	"pool"	"you_first"	"first_a"	"a_pool"	"when_you_first"	"you_first_a"	"first_a_pool"	"a_pool_,"	"WRB"	"PRP"	"JJ"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"first"	"acquire"	"a"	"pool"	"we"	"earnestly"	"recommend"	"for"	"your"	"own"	"mental_health"	"a"	"good"	"long"	"chat"	"with"	"your"	"insurance_agent"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"to"	"a"	"try"	"new"	"try_to"	"to_a"	"a_new"	"second_half_try_to"	"try_to_a"	"to_a_new"	"a_new_one"	"NN"	"VB"	"TO"	"VB"	"DT"	"JJ"	"CD"	"the"	"widow"	"spend"	"the"	"first_half"	"of"	"the"	"play"	"run"	"a"	"bar"	"and"	"sing"	"about"	"the"	"unlamented"	"death"	"of"	"her"	"late"	"husband"	"and"	"the"	"second_half"	"try"	"to"	"a"	"new"	"one"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"has"	"a"	"decorators"	"rare"	"decorators_has"	"has_a"	"a_rare"	"of_decorators_has"	"decorators_has_a"	"has_a_rare"	"a_rare_complete"	"IN"	"NNP"	"VBZ"	"VB"	"DT"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"american_institute"	"decorators"	"has"	"acquire"	"a"	"rare"	"complete"	"set"	"of"	"sofas"	"and"	"chairs"	"which"	"are"	"to"	"be"	"place"	"in"	"the"	"executive_mansion"	"library"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"to"	"a"	"it"	"system"	"it_to"	"to_a"	"a_system"	"make_it_to"	"it_to_a"	"to_a_system"	"a_system_for"	"VB"	"VB"	"TO"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"new"	"simplified"	"packaged"	"units"	"recently"	"devised"	"prefabricated"	"glass-fiber"	"and"	"improved"	"add-on"	"techniques"	"make"	"it"	"to"	"acquire"	"a"	"system"	"for"	"an"	"square-foot"	"house"	"for"	"as"	"little"	"as"	"to"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"still"	"their"	","	"skill"	",_still"	"still_their"	"their_skill"	"nevertheless_,_still"	",_still_their"	"still_their_skill"	"their_skill_outside"	"RB"	"ε"	"RB"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"most"	"skilled_worker"	"industrial"	"nevertheless"	"still"	"acquire"	"their"	"skill"	"outside"	"of"	"formal"	"training"	"institution"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"∅"	"the"	"∅"	"service"	"∅_∅"	"∅_the"	"the_service"	"∅_∅_∅"	"∅_∅_the"	"∅_the_service"	"the_service_of"	"ε"	"ε"	"ε"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"service"	"of"	"chemist"	"physicist"	"engineer"	"and"	"personnel"	"by"	"contract"	"or"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"∅"	"secret"	"∅"	"process"	"∅_∅"	"∅_secret"	"secret_process"	"∅_∅_∅"	"∅_∅_secret"	"∅_secret_process"	"secret_process_,"	"ε"	"ε"	"ε"	"VB"	"JJ"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"secret"	"process"	"technical"	"data"	"invention"	"patent"	"application"	"patent"	"license"	"land"	"and"	"interest"	"in"	"land"	"include"	"water_right"	"plant"	"and"	"facility"	"and"	"property"	"or"	"right"	"by"	"purchase"	"license"	"lease"	"or"	"donation"	"0"	
"2:40:00::"	"has"	"great"	"but"	"tact"	"but_has"	"has_great"	"great_tact"	"language_but_has"	"but_has_great"	"has_great_tact"	"great_tact_and"	"NN"	"CC"	"VBZ"	"VB"	"JJ"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"evident"	"that"	"person"	"has"	"not_only"	"have"	"experience"	"with"	"basic"	"vocabulary"	"in"	"many"	"language"	"but"	"has"	"acquire"	"great"	"tact"	"and"	"feeling"	"for"	"the"	"expectable"	"behavior"	"of"	"lexical"	"item"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"he"	"still"	","	"another"	",_he"	"he_still"	"still_another"	"discourse_,_he"	",_he_still"	"he_still_another"	"still_another_title"	"NN"	"ε"	"PRP"	"VB"	"RB"	"JJ"	"NN"	"for_example"	"could"	"a"	"voltaire"	"understand"	"the"	"strange"	"predicament"	"in"	"which"	"a"	"rousseau"	"would"	"find"	"himself"	"when"	"soon"	"after"	"the"	"furor"	"of"	"his"	"first"	"discourse"	"he"	"acquire"	"another"	"title"	"to"	"fame"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"to"	"site"	","	"for"	",_to"	"to_site"	"site_for"	"location_,_to"	",_to_site"	"to_site_for"	"site_for_underground"	"NNP"	"ε"	"TO"	"VB"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"natural_gas"	"public_utility"	"company"	"would"	"be"	"give"	"right"	"of"	"eminent_domain"	"under"	"a"	"bill"	"by"	"of"	"location"	"to"	"acquire"	"site"	"for"	"underground"	"storage"	"reservoir"	"for"	"gas"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"naturally"	"or"	"minimal"	"artificially"	"minimal_naturally"	"naturally_or"	"or_artificially"	"a_minimal_naturally"	"minimal_naturally_or"	"naturally_or_artificially"	"or_artificially_induce"	"DT"	"JJ"	"RB"	"VB"	"CC"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"aggressor"	"would"	"use"	"an"	"agent"	"which"	"there"	"be"	"a"	"minimal"	"naturally"	"acquire"	"or"	"artificially"	"induce"	"immunity"	"in"	"a"	"target"	"population"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"eventually"	"enough"	"as_a_whole"	"confidence"	"as_a_whole_eventually"	"eventually_enough"	"enough_confidence"	"population_as_a_whole_eventually"	"as_a_whole_eventually_enough"	"eventually_enough_confidence"	"enough_confidence_in"	"NN"	"JJ"	"RB"	"VB"	"RB"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"apparently"	"the"	"as_a_whole"	"eventually"	"acquire"	"enough"	"confidence"	"in"	"the"	"explanation"	"of"	"the"	"scientist"	"to"	"modify"	"its"	"procedure"	"and"	"its"	"fear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	"can"	"with"	"us"	"occasional"	"us_can"	"can_with"	"with_occasional"	"all_of_us_can"	"us_can_with"	"can_with_occasional"	"with_occasional_high-set"	"JJ"	"PRP"	"MD"	"VB"	"IN"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"good"	"definition"	"be"	"thing"	"that"	"all_of"	"us"	"can"	"acquire"	"with"	"occasional"	"high-set"	"high-rep"	"light"	"weight"	"workout"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"has"	"a"	"modifier"	"new"	"modifier_has"	"has_a"	"a_new"	"misplaced_modifier_has"	"modifier_has_a"	"has_a_new"	"a_new_habitat"	"JJ"	"NN"	"VBZ"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"recent"	"year"	"gagwriter"	"have"	"discover"	"this"	"of"	"blunder"	"and"	"thus"	"the"	"misplaced"	"modifier"	"has"	"acquire"	"a"	"new"	"habitat"	"in"	"the"	"gag_line"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
