"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"
"2:33:03::"	"him"	"them"	"help"	"."	"help_him"	"him_them"	"them_."	"-_help_him"	"help_him_them"	"him_them_."	"them_._∅"	"ε"	"VB"	"PRP"	"VB"	"PRP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sometimes"	"she"	"can"	"to"	"a"	"extent"	"help"	"him"	"overcome"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	","	"the"	"first_of_all"	"resistance"	"first_of_all_,"	",_the"	"the_resistance"	",_first_of_all_,"	"first_of_all_,_the"	",_the_resistance"	"the_resistance_of"	"ε"	"RB"	"ε"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"those"	"who"	"would"	"revitalize"	"so"	"an"	"organization"	"must"	"first_of_all"	"overcome"	"the"	"resistance"	"of"	"layers"	"of"	"officials"	"wedded"	"to"	"traditional"	"procedures"	"suspicious"	"of"	"innovation"	"and"	"fearful"	"of"	"mistakes"	"0"	"0"	"0"	
"2:33:01::"	"to"	"the"	"take"	"legal"	"take_to"	"to_the"	"the_legal"	"be_take_to"	"take_to_the"	"to_the_legal"	"the_legal_obstacles"	"VB"	"VB"	"VB"	"VB"	"DT"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"statement"	"did"	"not"	"mention"	"steps"	"might"	"be"	"take"	"to"	"overcome"	"the"	"legal"	"obstacles"	"to"	"desegregation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:03::"	"god"	"the"	"of"	"world"	"of_god"	"god_the"	"the_world"	"be_born_of_god"	"of_god_the"	"god_the_world"	"the_world_;"	"VB"	"IN"	"NNP"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"all"	"that"	"of"	"god"	"overcome"	"the"	"world"	"and"	"this"	"be"	"the"	"victory"	"that"	"overcome"	"the"	"world"	"our"	"faith"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:03::"	"that"	"the"	"victory"	"world"	"victory_that"	"that_the"	"the_world"	"the_victory_that"	"victory_that_the"	"that_the_world"	"the_world_,"	"DT"	"NN"	"WDT"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"all"	"that"	"be_born"	"of"	"god"	"overcome"	"the"	"and"	"this"	"be"	"the"	"victory"	"that"	"overcome"	"the"	"world"	"our"	"faith"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:03::"	"impulse"	"her"	"playful"	"to"	"playful_impulse"	"impulse_her"	"her_to"	"a_playful_impulse"	"playful_impulse_her"	"impulse_her_to"	"her_to_remove"	"DT"	"JJ"	"NN"	"VB"	"PRP"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"viola"	"sit"	"a"	"playful"	"impulse"	"overcome"	"her"	"to"	"remove"	"the"	"shoes"	"and"	"socks"	"from"	"the"	"unidentified"	"feet"	"and"	"as"	"a"	"prank"	"insert"	"rosebuds"	"between"	"the"	"toes"	"0"	
"2:33:03::"	"''"	"through"	"epitaph_for_george_dillon"	"sheer"	"epitaph_for_george_dillon_''"	"''_through"	"through_sheer"	"``_epitaph_for_george_dillon_''"	"epitaph_for_george_dillon_''_through"	"''_through_sheer"	"through_sheer_vitality"	"ε"	"NNP"	"ε"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"not"	"altogether"	"a"	"successful"	"epitaph_for_george_dillon"	"overcome"	"through"	"sheer"	"vitality"	"and"	"power"	"what"	"in"	"a"	"lesser"	"work"	"might"	"be"	"crippling"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:01::"	"having"	"his"	"his"	"infirmity"	"his_having"	"having_his"	"his_infirmity"	"on_his_having"	"his_having_his"	"having_his_infirmity"	"his_infirmity_."	"IN"	"PRP$"	"VBG"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and_then"	"the"	"question"	"come"	"eager"	"interested"	"question"	"many"	"compliment"	"on"	"his"	"having"	"overcome"	"his"	"infirmity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:03::"	"finally"	"my"	","	"timidity"	",_finally"	"finally_my"	"my_timidity"	"that_,_finally"	",_finally_my"	"finally_my_timidity"	"my_timidity_,"	"RB"	"ε"	"RB"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"at"	"party"	"that"	"finally"	"overcome"	"my"	"timidity"	"inspire"	"by"	"tale"	"only"	"half"	"understood"	"and"	"overhear"	"among"	"old"	"boy"	"i"	"ask"	"person"	"to"	"spend"	"new_year's_eve"	"with"	"me"	
"2:33:01::"	"to"	"them"	"in_order"	"."	"in_order_to"	"to_them"	"them_."	",_in_order_to"	"in_order_to_them"	"to_them_."	"them_._∅"	"ε"	"RB"	"RB"	"VB"	"PRP"	"ε"	"ε"	"be"	"so"	"strong"	"that"	"he"	"need"	"constant"	"reassurance"	"of"	"his"	"mother"	"love"	"for"	"him"	"and"	"what"	"she"	"expect"	"of"	"him"	"in_order"	"to"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
