"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"
"2:33:00::"	"milwaukee_braves"	"a"	"the"	"major-league"	"the_milwaukee_braves"	"milwaukee_braves_a"	"a_major-league"	")_the_milwaukee_braves"	"the_milwaukee_braves_a"	"milwaukee_braves_a_major-league"	"a_major-league_record"	"ε"	"DT"	"NNP"	"VB"	"DT"	"JJ"	"NN"	"the"	"year"	"when"	"amiable"	"jim_gentile"	"of"	"the"	"baltimore_orioles"	"amble"	"to"	"the"	"plate"	"in"	"consecutive"	"innings"	"with"	"the"	"bases"	"loaded"	"and"	"in"	"unprecedented"	"style"	"deliver"	"consecutive"	"grand-slam"	"home_runs"	"willie_mays"	"of"	"the"	"san_francisco"	"giants"	"borrow"	"a"	"teammate"	"bat"	"and"	"become"	"the"	"ninth"	"big_leaguer"	"to"	"stroke"	"four"	"home_runs"	"in"	"a"	"game"	"the"	"milwaukee_braves"	"tie"	"a"	"major-league"	"record"	"fourteen"	"home_runs"	"in"	"three"	"games"	"and"	"lose"	"two"	"of"	"them"	"and"	"catcher"	"johnny_blanchard"	"of"	"the"	"new_york"	"yankees"	"match"	"a"	"record"	"with"	"home_runs"	"in"	"four"	"successive"	"times"	"at"	"bat"	"two"	"of"	"them"	"as"	"a"	"pinch-hitter"	
"2:35:00::"	"``"	"him"	"∅"	"up"	"∅_``"	"``_him"	"him_up"	"∅_∅_``"	"∅_``_him"	"``_him_up"	"him_up_''"	"ε"	"ε"	"ε"	"VB"	"PRP"	"IN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"him"	"up"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"are"	"to"	"today"	"large"	"today_are"	"are_to"	"to_large"	"have_today_are"	"today_are_to"	"are_to_large"	"to_large_,"	"VB"	"NN"	"VBP"	"VB"	"TO"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"however"	"the"	"aircraft"	"which"	"have"	"today"	"are"	"tie"	"to"	"large"	"soft"	"airfields"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"by"	"the"	"fixture"	"strings"	"fixture_by"	"by_the"	"the_strings"	"light_fixture_by"	"fixture_by_the"	"by_the_strings"	"the_strings_to"	"NN"	"NN"	"IN"	"VB"	"DT"	"NNS"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"use"	"the"	"strings"	"that"	"manipulate"	"the"	"puppet"	"him"	"from"	"the"	"light"	"fixture"	"by"	"tie"	"the"	"strings"	"to"	"the"	"lamp"	"base"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"she"	"with"	"which"	"long"	"which_she"	"she_with"	"with_long"	",_which_she"	"which_she_with"	"she_with_long"	"with_long_grasses"	"ε"	"WDT"	"PRP"	"VB"	"IN"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"outside"	"the"	"garden"	"the"	"tame"	"wilderness"	"yield"	"a"	"patchwork"	"bouquet"	"of"	"daisies"	"sweet_william"	"stock"	"and"	"lady"	"bedstraw"	"which"	"she"	"tie"	"with"	"long"	"grasses"	"and"	"take"	"back"	"to"	"show"	"rosa"	"who"	"was"	"now"	"stir"	"about"	"the"	"kitchen"	"and"	"harangue"	"folly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"not"	"to"	"when"	"the"	"when_not"	"not_to"	"to_the"	"question_when_not"	"when_not_to"	"not_to_the"	"to_the_part"	"NN"	"WRB"	"RB"	"VB"	"TO"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"most_of"	"this"	"testimony"	"may"	"have"	"be"	"legally"	"admissible"	"as"	"bear_on"	"the"	"of"	"the"	"total"	"nazi"	"crime"	"but"	"seem"	"subject_to"	"question"	"when"	"not"	"tie"	"to"	"the"	"part"	"in"	"it"	"of"	"the"	"defendant"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	","	"the"	"chain"	"fly"	"chain_,"	",_the"	"the_fly"	"additional_chain_,"	"chain_,_the"	",_the_fly"	"the_fly_of"	"JJ"	"NN"	"ε"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"he"	"had"	"store"	"his"	"stock"	"in"	"the"	"great"	"oak"	"chest"	"the"	"two"	"big"	"hasp"	"and"	"secure"	"the"	"additional"	"chain"	"tie"	"the"	"fly"	"of"	"the"	"tent"	"and"	"pick_up"	"the"	"cash"	"box"	"he"	"move_up"	"the"	"darken"	"street"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"a"	"."	"and"	"∅"	"and_a"	"a_."	"._∅"	"defeat_and_a"	"and_a_."	"a_._∅"	"._∅_∅"	"NN"	"CC"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"victory"	"be"	"the"	"first"	"of"	"the"	"for"	"the"	"group"	"after"	"nine"	"defeat"	"and"	"a"	"tie"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"group"	"the"	"the"	"score"	"the_group"	"group_the"	"the_score"	"∅_the_group"	"the_group_the"	"group_the_score"	"the_score_in"	"ε"	"DT"	"NNP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"group"	"tie"	"the"	"score"	"in"	"the"	"sixth"	"inning"	"when"	"person"	"beat_out"	"a"	"high"	"chopper"	"to"	"third_base"	"and"	"score"	"on"	"person"	"double"	"to"	"left"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"-"	"the"	"campaign"	"score"	"campaign_-"	"-_the"	"the_score"	"the_campaign_-"	"campaign_-_the"	"-_the_score"	"the_score_and"	"DT"	"NN"	"ε"	"VB"	"DT"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"blast"	"over"	"left"	"in"	"the"	"fourth"	"his"	"homer"	"of"	"the"	"campaign"	"tie"	"the"	"score"	"and"	"person"	"first"	"major_league"	"home_run"	"in"	"the"	"fifth"	"put"	"the"	"group"	"back"	"in_front"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
