"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"
"2:41:00::"	"husband"	","	"her"	"for_example"	"her_husband"	"husband_,"	",_for_example"	"corporation_her_husband"	"her_husband_,"	"husband_,_for_example"	",_for_example_,"	"NN"	"PRP$"	"NN"	"VB"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"spouse"	"employ"	"a"	"corporation"	"her"	"husband"	"control"	"for_example"	"may"	"be"	"entitle"	"to"	"distributions"	"under"	"the"	"company"	"pension"	"plan"	"as_well"	"as"	"to"	"her"	"own"	"social_security"	"coverage"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"and_then"	"request"	"merge"	"request_to"	"to_and_then"	"and_then_merge"	"'s_request_to"	"request_to_and_then"	"to_and_then_merge"	"and_then_merge_with"	"POS"	"NN"	"TO"	"VB"	"RB"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"railroad"	"president"	"make"	"the"	"statement"	"in"	"an"	"interview"	"as"	"the"	"interstate_commerce_commission"	"open"	"round"	"its"	"hearing"	"into"	"the"	"c"	"o"	"request"	"to"	"control"	"and_then"	"merge"	"with"	"the"	"b"	"o"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"gates"	"by"	"sluice"	"the"	"sluice_gates"	"gates_by"	"by_the"	"the_sluice_gates"	"sluice_gates_by"	"gates_by_the"	"by_the_house_rules_committee"	"DT"	"NN"	"NNS"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"the"	"th"	"congress"	"begin"	"its"	"sessions"	"last"	"week"	"liberal"	"democrats"	"ready"	"for"	"a"	"finish"	"fight"	"to"	"open"	"the"	"sluice"	"gates"	"control"	"by"	"the"	"house_rules_committee"	"and"	"permit"	"the"	"free"	"flow"	"of"	"liberal"	"legislation"	"to"	"the"	"floor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"the"	"moves"	"international"	"moves_to"	"to_the"	"the_international"	"kennedy_moves_to"	"moves_to_the"	"to_the_international"	"the_international_textile"	"NNP"	"NNS"	"TO"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"recently"	"kennedy"	"moves"	"to"	"control"	"the"	"international"	"textile"	"market"	"can"	"be"	"significant"	"for"	"american"	"businessmen"	"in"	"many"	"lines"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"to"	"textile"	"countries"	"exports"	"countries_to"	"to_textile"	"textile_exports"	"low-wage_countries_to"	"countries_to_textile"	"to_textile_exports"	"textile_exports_-"	"JJ"	"NNS"	"TO"	"VB"	"NN"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at_the_same_time"	"another"	"purpose"	"of"	"the"	"conference"	"will"	"to"	"get"	"certain"	"low-wage"	"countries"	"to"	"control"	"textile"	"exports"	"especially"	"dumping"	"of"	"specific"	"products"	"to"	"high-wage"	"textile-producing"	"countries"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"by"	"the"	"bombs"	"sources"	"bombs_by"	"by_the"	"the_sources"	"uranium_bombs_by"	"bombs_by_the"	"by_the_sources"	"the_sources_of"	"NN"	"NNS"	"IN"	"VB"	"DT"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"we"	"might"	"have"	"restrict"	"use"	"of"	"uranium"	"bombs"	"by"	"control"	"the"	"sources"	"of"	"uranium"	"because"	"it"	"is"	"found"	"in"	"only"	"a_few"	"places"	"in"	"the"	"world"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"of"	"the"	"problem"	"vaginal"	"problem_of"	"of_the"	"the_vaginal"	"standard_problem_of"	"problem_of_the"	"of_the_vaginal"	"the_vaginal_muscles"	"JJ"	"NN"	"IN"	"VB"	"DT"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"apart"	"from"	"standard"	"problem"	"of"	"control"	"the"	"vaginal"	"muscles"	"serious"	"barriers"	"may"	"exist"	"that"	"need"	"special"	"gynecological"	"treatment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"by"	"cell"	"heredity"	"chemistry"	"heredity_by"	"by_cell"	"cell_chemistry"	"affect_heredity_by"	"heredity_by_cell"	"by_cell_chemistry"	"cell_chemistry_("	"VB"	"NN"	"IN"	"VB"	"NN"	"NN"	"ε"	"chicago"	"happily"	"find"	"its"	"top"	"scholar"	"in"	"caltech"	"acting"	"dean"	"of"	"the"	"faculty"	"dynamic"	"geneticist_george_wells_beadle"	"who"	"share"	"the"	"nobel_prize"	"in"	"medicine"	"and"	"physiology"	"for"	"discover"	"how"	"genes"	"affect"	"heredity"	"by"	"cell"	"chemistry"	"time"	"cover"	"july_14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"with"	"the"	"charge"	"actions"	"charge_with"	"with_the"	"the_actions"	"and_others_charge_with"	"charge_with_the"	"with_the_actions"	"the_actions_of"	"RB"	"VB"	"IN"	"VB"	"DT"	"NNS"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"among"	"the"	"policy"	"makers"	"generals"	"physicists"	"and_others"	"charge"	"with"	"control"	"the"	"actions"	"of"	"the"	"button"	"pushers"	"and"	"their"	"hardware"	"the"	"answers"	"to"	"my"	"questions"	"vary"	"partly"	"according"	"to_a_man"	"flair"	"for"	"what"	"the"	"professionals"	"in_this"	"field"	"call"	"scenarios"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"that"	"the"	"steering_system"	"modified"	"steering_system_that"	"that_the"	"the_modified"	"a_steering_system_that"	"steering_system_that_the"	"that_the_modified"	"the_modified_rocket"	"DT"	"NN"	"WDT"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"use"	"steering_system"	"that"	"control"	"the"	"modified"	"rocket"	"tail"	"surfaces"	"and"	"wings"	"equipped"	"with"	"ailerons"	"fiedler"	"was"	"to"	"land"	"the"	"missile"	"on"	"a"	"skid"	"especially"	"bolted"	"under"	"the"	"fuselage"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"nominally"	","	"still"	"in"	"still_nominally"	"nominally_,"	",_in"	"laos_still_nominally"	"still_nominally_,"	"nominally_,_in"	",_in_the"	"NN"	"RB"	"RB"	"VB"	"ε"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"find_out"	"we"	"travel"	"throughout"	"part"	"of"	"laos"	"still"	"nominally"	"control"	"in"	"the"	"daytime"	"at_least"	"by"	"the"	"group"	"from"	"location"	"the"	"city"	"of"	"buffalo"	"dung"	"in"	"the"	"southeast"	"to"	"location"	"the"	"city"	"of"	"lion"	"in"	"the"	"northwest"	"close"	"to"	"communist_china"	"map"	"page"	
"1:07:00::"	"keep"	"upon"	"he"	"his"	"he_keep"	"keep_upon"	"upon_his"	"but_he_keep"	"he_keep_upon"	"keep_upon_his"	"upon_his_voice"	"CC"	"PRP"	"VB"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"ripple"	"run"	"through"	"the"	"muscle"	"his"	"jaw"	"but"	"he"	"keep"	"control"	"upon"	"his"	"voice"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::;1:24:00::"	"in"	"of"	"firmly"	"the"	"firmly_in"	"in_of"	"of_the"	"be_firmly_in"	"firmly_in_of"	"in_of_the"	"of_the_economics"	"VB"	"RB"	"IN"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"avoid"	"runaway"	"technology"	"can"	"be"	"do"	"only"	"by"	"assure"	"a"	"society"	"and"	"for"	"this"	"human_being"	"must"	"be"	"firmly"	"in"	"control"	"of"	"the"	"economics"	"on"	"which"	"our"	"society"	"rest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:24:00::"	"great"	"upon"	"establish"	"corporation"	"establish_great"	"great_upon"	"upon_corporation"	"must_establish_great"	"establish_great_upon"	"great_upon_corporation"	"upon_corporation_so"	"MD"	"VB"	"JJ"	"NN"	"IN"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hence"	"government"	"establish"	"great"	"control"	"upon"	"corporation"	"so"	"that"	"their"	"activity"	"promote"	"what"	"is"	"deem"	"essential"	"to"	"the"	"national"	"interest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"to"	"them"	"do"	"unless"	"do_to"	"to_them"	"them_unless"	"can_do_to"	"do_to_them"	"to_them_unless"	"them_unless_you"	"MD"	"VB"	"TO"	"VB"	"PRP"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"distribution_cost"	"be"	"almost"	"bind"	"to"	"increase"	"in"	"the"	"sixties"	"you"	"will"	"never"	"know"	"what"	"you"	"can"	"do"	"to"	"control"	"them"	"unless"	"you"	"study"	"each"	"element"	"and"	"experiment"	"with"	"alternative"	"way"	"of"	"do"	"the"	"job"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"for"	"of"	"proposal"	"the"	"proposal_for"	"for_of"	"of_the"	"'s_proposal_for"	"proposal_for_of"	"for_of_the"	"of_the_group"	"POS"	"NN"	"IN"	"NN"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"at"	"this"	"time"	"of"	"crisis"	"in"	"our"	"nation"	"commuter"	"railroad"	"a"	"new"	"threat"	"to"	"the"	"continued"	"operation"	"of"	"the"	"group"	"has"	"appear"	"in"	"the"	"form"	"of"	"group"	"proposal"	"for"	"control"	"of"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"this"	","	"that"	"if"	"that_this"	"this_,"	",_if"	"point_out_that_this"	"that_this_,"	"this_,_if"	",_if_approve"	"VB"	"IN"	"DT"	"NN"	"ε"	"IN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"point_out"	"that"	"this"	"control"	"if"	"approve"	"by"	"the"	"group"	"would"	"give"	"the"	"combined"	"group"	"group"	"a"	"total"	"of"	"point"	"serve"	"in_common"	"with"	"the"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
