"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"
"2:33:01::"	"and"	"two"	"games"	"of"	"games_and"	"and_two"	"two_of"	"three_games_and"	"games_and_two"	"and_two_of"	"two_of_them"	"CD"	"NNS"	"CC"	"VB"	"CD"	"IN"	"PRP"	"the"	"year"	"when"	"amiable"	"jim_gentile"	"of"	"the"	"baltimore_orioles"	"amble"	"to"	"the"	"plate"	"in"	"consecutive"	"innings"	"with"	"the"	"bases"	"loaded"	"and"	"in"	"unprecedented"	"style"	"deliver"	"consecutive"	"grand-slam"	"home_runs"	"willie_mays"	"of"	"the"	"san_francisco"	"giants"	"borrow"	"a"	"teammate"	"bat"	"and"	"become"	"the"	"ninth"	"big_leaguer"	"to"	"stroke"	"four"	"home_runs"	"in"	"a"	"game"	"the"	"milwaukee_braves"	"tie"	"a"	"major-league"	"record"	"with"	"fourteen"	"home_runs"	"in"	"three"	"games"	"and"	"two"	"of"	"them"	"and"	"catcher"	"johnny_blanchard"	"of"	"the"	"new_york"	"yankees"	"match"	"a"	"record"	"with"	"home_runs"	"in"	"four"	"successive"	"times"	"at"	"bat"	"two"	"of"	"them"	"as"	"a"	"pinch-hitter"	"0"	"0"	"0"	
"2:40:02::"	"were"	"to"	"church"	"the"	"church_were"	"were_to"	"to_the"	"the_church_were"	"church_were_to"	"were_to_the"	"to_the_church"	"DT"	"NNP"	"VBD"	"VB"	"TO"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"study"	"of"	"major"	"denominational"	"membership"	"statistics"	"over"	"a"	"twenty-year"	"period"	"reveal"	"appalling"	"fact"	"that"	"nearly"	"per_cent"	"of"	"those"	"who"	"join"	"the"	"church"	"were"	"lose"	"to"	"the"	"church"	"within"	"seven"	"years"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"have"	"prospects"	"we"	"for"	"we_have"	"have_prospects"	"prospects_for"	"believe_we_have"	"we_have_prospects"	"have_prospects_for"	"prospects_for_growth"	"VB"	"PRP"	"VBP"	"VB"	"NNS"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"rather_than"	"view"	"the"	"abortive"	"recovery"	"in"	"as"	"reason"	"for"	"believe"	"we"	"have"	"lose"	"prospects"	"for"	"growth"	"he"	"say"	"it"	"should"	"be"	"view_as"	"a"	"lesson"	"well"	"learn"	"which"	"will"	"increase"	"the"	"probability"	"of"	"substantial"	"improvement"	"in_this"	"recovery"	"0"	
"2:40:02::"	"are"	"too_soon"	"teeth"	"or"	"teeth_are"	"are_too_soon"	"too_soon_or"	"baby_teeth_are"	"teeth_are_too_soon"	"are_too_soon_or"	"too_soon_or_retain"	"NN"	"NNS"	"VBP"	"VB"	"RB"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"malocclusion"	"can"	"also"	"if"	"baby"	"teeth"	"are"	"lose"	"too_soon"	"or"	"retain"	"too"	"long"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:02::"	"to"	"from"	"something"	"close_off"	"something_to"	"to_from"	"from_close_off"	"have_something_to"	"something_to_from"	"to_from_close_off"	"from_close_off_disarmament"	"VB"	"NN"	"TO"	"VB"	"IN"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"if"	"anything"	"can"	"bring_home"	"to"	"mr._khrushchev"	"the"	"idea"	"that"	"he"	"will"	"not"	"really"	"get"	"much"	"enjoyment"	"from"	"watch"	"this"	"braddock-against-the-indians"	"contest"	"will"	"probably"	"be"	"the"	"fact"	"that"	"seato"	"forces"	"be"	"ready"	"to"	"attempt"	"it"	"plus"	"the"	"fact"	"that"	"moscow"	"have"	"something"	"to"	"lose"	"from"	"close_off"	"disarmament"	"and"	"bigger"	"negotiations"	"with"	"washington"	
"2:33:00::"	"could"	"."	"judge_smith"	"∅"	"judge_smith_could"	"could_."	"._∅"	"that_judge_smith_could"	"judge_smith_could_."	"could_._∅"	"._∅_∅"	"IN"	"NNP"	"MD"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"the"	"battle"	"rage"	"in"	"the"	"cloakrooms"	"caucuses"	"it"	"became"	"clear"	"that"	"judge_smith"	"could"	"lose"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:33:00::"	"of"	"a"	"specter"	"costlier"	"specter_of"	"of_a"	"a_costlier"	"the_specter_of"	"specter_of_a"	"of_a_costlier"	"a_costlier_war"	"DT"	"NN"	"IN"	"VB"	"DT"	"JJR"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"in"	"the"	"prospect"	"of"	"the"	"battle"	"loom"	"the"	"specter"	"of"	"lose"	"a"	"costlier"	"war"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:02::"	"was"	"in"	"say"	"the"	"say_was"	"was_in"	"in_the"	"he_say_was"	"say_was_in"	"was_in_the"	"in_the_rattle"	"PRP"	"VB"	"VBD"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"else"	"say"	"was"	"lose"	"in"	"the"	"rattle"	"of"	"gunfire"	"on_all_sides"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:02::"	"he"	"the"	","	"five"	",_he"	"he_the"	"the_five"	"it_,_he"	",_he_the"	"he_the_five"	"the_five_minutes"	"PRP"	"ε"	"PRP"	"VB"	"DT"	"CD"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"since"	"he"	"had"	"to"	"anticipate"	"it"	"he"	"lose"	"the"	"five"	"minutes"	"anyhow"	"in"	"plot"	"an"	"intercept"	"orbit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	","	"amongst"	"one"	"trees"	"one_,"	",_amongst"	"amongst_trees"	"for_one_,"	"one_,_amongst"	",_amongst_trees"	"amongst_trees_,"	"IN"	"CD"	"ε"	"VB"	"IN"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"wright"	"one"	"lose"	"amongst"	"trees"	"its"	"wide"	"verandas"	"strew"	"with"	"rockers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
