"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"
"2:39:00::"	"``"	","	","	"we"	",_``"	"``_,"	",_we"	"say_,_``"	",_``_,"	"``_,_we"	",_we_'re"	"VB"	"ε"	"ε"	"VB"	"ε"	"PRP"	"VBP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"tough"	"buzz"	"say"	"we"	"have"	"a"	"stag"	"dinner"	"over"	"at"	"the"	"pagan_room"	"on"	"friday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"was"	"to"	"owen"	"the"	"owen_was"	"was_to"	"to_the"	"while_owen_was"	"owen_was_to"	"was_to_the"	"to_the_wrangler"	"IN"	"NNP"	"VBD"	"VB"	"VB"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"five"	"come_up"	"owen"	"was"	"listen"	"to"	"the"	"wrangler"	"and"	"he"	"neglect"	"to"	"play"	"a"	"loss"	"of"	"ten"	"dollars"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"to"	"."	"how"	"∅"	"how_to"	"to_."	"._∅"	"scientifically_how_to"	"how_to_."	"to_._∅"	"._∅_∅"	"RB"	"WRB"	"TO"	"VB"	"ε"	"ε"	"ε"	"this"	"intensive"	"study"	"of"	"the"	"taped"	"interviews"	"by"	"teams"	"of"	"psychotherapists"	"and"	"linguists"	"laid_bare"	"the"	"surprising"	"fact"	"that"	"in"	"the"	"first"	"five"	"minutes"	"of"	"an"	"initial"	"interview"	"the"	"patient"	"often"	"reveal"	"as_many"	"as"	"a"	"dozen"	"times"	"just"	"what"	"wrong"	"with"	"him"	"to"	"spot"	"these"	"giveaways"	"the"	"therapist"	"must"	"know"	"either"	"intuitively"	"or"	"scientifically"	"how"	"to"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:01::"	"ready_to"	"and"	"more"	"learn"	"more_ready_to"	"ready_to_and"	"and_learn"	",_more_ready_to"	"more_ready_to_and"	"ready_to_and_learn"	"and_learn_than"	"ε"	"RBR"	"JJ"	"VB"	"CC"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"impression"	"has"	"nevertheless"	"been"	"give"	"during"	"these"	"three"	"days"	"despite"	"mr._rusk"	"personal"	"popularity"	"that"	"the"	"delegation"	"come"	"to"	"oslo"	"in"	"a"	"somewhat"	"tentative"	"and"	"exploratory"	"frame_of_mind"	"more"	"ready_to"	"listen"	"and"	"learn"	"than"	"to"	"enunciate"	"firm"	"policy"	"on"	"a"	"global"	"scale"	"with"	"detailed"	"application"	"to"	"individual"	"danger"	"spots"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:01::"	"would"	"?"	"who"	"∅"	"who_would"	"would_?"	"?_∅"	",_who_would"	"who_would_?"	"would_?_∅"	"?_∅_∅"	"ε"	"WP"	"MD"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"could"	"not"	"scream"	"for"	"even"	"if"	"a"	"sound"	"could"	"take_shape"	"her"	"parched"	"mouth"	"who"	"would"	"hear"	"who"	"would"	"listen"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:01::"	"mountain"	"?"	"the"	"∅"	"the_mountain"	"mountain_?"	"?_∅"	"does_the_mountain"	"the_mountain_?"	"mountain_?_∅"	"?_∅_∅"	"VBZ"	"DT"	"NN"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"does"	"mountain"	"listen"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"and"	"to"	"bunk"	"the"	"bunk_and"	"and_to"	"to_the"	"his_bunk_and"	"bunk_and_to"	"and_to_the"	"to_the_sounds"	"PRP$"	"NN"	"CC"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ekstrohm"	"lie"	"his"	"bunk"	"and"	"listen"	"to"	"the"	"sounds"	"of"	"the"	"night"	"on"	"yancey-6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:01::"	"``"	","	"∅"	"ekstrohm"	"∅_``"	"``_,"	",_ekstrohm"	"∅_∅_``"	"∅_``_,"	"``_,_ekstrohm"	",_ekstrohm_,"	"ε"	"ε"	"ε"	"VB"	"ε"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"ekstrohm"	"i"	"want"	"to"	"give"	"you"	"the"	"benefit"	"of"	"every"	"doubt"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"of"	"to"	"instead"	"what"	"instead_of"	"of_to"	"to_what"	"minds_instead_of"	"instead_of_to"	"of_to_what"	"to_what_be"	"NNS"	"RB"	"IN"	"VB"	"VB"	"WP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"yet"	"we"	"who"	"lean"	"upon"	"such"	"a"	"man"	"and"	"draw"	"strength"	"from"	"him"	"and"	"expect"	"interpretation"	"of"	"the"	"infinite"	"through"	"him"	"we"	"who"	"readily"	"accept"	"his"	"sacrifice"	"as"	"our"	"due"	"we"	"of"	"the"	"congregations"	"the"	"first"	"to"	"tell"	"him"	"what"	"be"	"in"	"our"	"minds"	"instead"	"of"	"listen"	"to"	"what"	"be"	"in"	"his"	"soul"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:01::"	"tent"	"and"	"the"	"watch"	"the_tent"	"tent_and"	"and_watch"	"around_the_tent"	"the_tent_and"	"tent_and_watch"	"and_watch_the"	"IN"	"DT"	"NN"	"VB"	"CC"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"many_of"	"the"	"music-loving"	"members"	"of"	"the"	"staff"	"gather"	"around"	"the"	"tent"	"listen"	"and"	"watch"	"the"	"rapt"	"attention"	"give"	"by"	"the"	"young"	"seated"	"audience"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
