"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"
"2:41:02::"	"city_council"	"to"	"the"	"consider"	"the_city_council"	"city_council_to"	"to_consider"	"if_the_city_council"	"the_city_council_to"	"city_council_to_consider"	"to_consider_appointment"	"IN"	"DT"	"NN"	"VB"	"TO"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"city_council"	"fail"	"to"	"consider"	"appointment"	"of"	"a"	"full-time"	"cd"	"director"	"mr._hawksley"	"say"	"then"	"he"	"plan"	"to"	"call"	"a"	"meeting"	"early"	"in"	"september"	"so_that"	"a"	"civil_defense"	"organization"	"will"	"be"	"develop"	"locally"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"and"	"to"	"industry"	"give"	"industry_and"	"and_to"	"to_give"	"an_industry_and"	"industry_and_to"	"and_to_give"	"to_give_it"	"DT"	"NN"	"CC"	"VB"	"TO"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"executive"	"pay"	"tribute"	"research"	"and"	"development"	"and"	"technology"	"for"	"their"	"great"	"contributions"	"in_the_past"	"but"	"he"	"also"	"caution"	"industry"	"that"	"they"	"to"	"be"	"great"	"equalizers"	"because"	"they"	"move"	"at"	"a"	"fairly"	"even"	"pace"	"within"	"an"	"industry"	"and"	"fail"	"to"	"give"	"it"	"the"	"short-term"	"advantage"	"which"	"it"	"often"	"need"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"had"	"to"	"he"	"anticipate"	"he_had"	"had_to"	"to_anticipate"	"since_he_had"	"he_had_to"	"had_to_anticipate"	"to_anticipate_it"	"IN"	"PRP"	"VBD"	"VB"	"TO"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"he"	"had"	"fail"	"to"	"anticipate"	"it"	"he"	"lose"	"the"	"five"	"minutes"	"anyhow"	"in"	"plot"	"an"	"intercept"	"orbit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"should"	";"	"plan"	"she"	"plan_should"	"should_;"	";_she"	"her_plan_should"	"plan_should_;"	"should_;_she"	";_she_direct"	"PRP$"	"NN"	"MD"	"VB"	"ε"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"did"	"not"	"pause"	"to"	"consider"	"she"	"would"	"do"	"if"	"her"	"plan"	"should"	"fail"	"she"	"direct"	"all_of"	"her"	"mental"	"and"	"physical"	"energy"	"toward"	"achieve"	"this"	"one"	"goal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"is"	"to"	"today"	"render"	"today_is"	"is_to"	"to_render"	"of_today_is"	"today_is_to"	"is_to_render"	"to_render_vitally"	"IN"	"NN"	"VBZ"	"VB"	"TO"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"every"	"aspect"	"of"	"service"	"to"	"the"	"public"	"to"	"children"	"in"	"schools"	"colleges"	"and"	"universities"	"the"	"library"	"of"	"today"	"is"	"fail"	"to"	"render"	"vitally"	"needed"	"services"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"n't"	"to"	"do"	"shorten"	"do_n't"	"n't_to"	"to_shorten"	"∅_do_n't"	"do_n't_to"	"n't_to_shorten"	"to_shorten_cooking"	"ε"	"VBP"	"RB"	"VB"	"TO"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"n't"	"fail"	"to"	"shorten"	"cooking"	"time"	"by"	"the"	"use"	"of"	"aluminum_foil"	"cut"	"slightly"	"larger"	"than"	"the"	"surface"	"of"	"steaks"	"and"	"chops"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"figures"	"to"	"menacing"	"make"	"menacing_figures"	"figures_to"	"to_make"	"the_menacing_figures"	"menacing_figures_to"	"figures_to_make"	"to_make_them"	"DT"	"JJ"	"NNS"	"VB"	"TO"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"unfortunately"	"the"	"man"	"and"	"woman"	"were"	"not"	"make"	"to"	"very"	"interesting"	"at"	"the"	"outset"	"and"	"the"	"menacing"	"figures"	"fail"	"to"	"make"	"them"	"any_more"	"so"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:02::"	"skyline_drive"	"to"	"the"	"materialize"	"the_skyline_drive"	"skyline_drive_to"	"to_materialize"	"along_the_skyline_drive"	"the_skyline_drive_to"	"skyline_drive_to_materialize"	"to_materialize_yesterday"	"IN"	"DT"	"NNP"	"VB"	"TO"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"anticipated"	"heavy"	"along"	"the"	"skyline_drive"	"fail"	"to"	"materialize"	"yesterday"	"park"	"rangers"	"say"	"and"	"those"	"who"	"make"	"the"	"trip"	"get"	"a"	"leisurely"	"view"	"of"	"the"	"fall"	"colors"	"through"	"skies"	"sweep"	"clear"	"of"	"haze"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"negotiations"	"."	"if"	"∅"	"if_negotiations"	"negotiations_."	"._∅"	"''_if_negotiations"	"if_negotiations_."	"negotiations_._∅"	"._∅_∅"	"ε"	"IN"	"NNS"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"atlanta_negro"	"student"	"movement"	"renew"	"its"	"demands"	"for"	"movie_theater"	"friday"	"and"	"threaten"	"picketing"	"and"	"stand-ins"	"if"	"negotiations"	"fail"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"farmers"	"."	"many"	"∅"	"many_farmers"	"farmers_."	"._∅"	",_many_farmers"	"many_farmers_."	"farmers_._∅"	"._∅_∅"	"ε"	"JJ"	"NNS"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"where"	"a"	"growing_season"	"may"	"with"	"luck"	"allow"	"days"	"without"	"frost"	"and"	"where"	"the"	"soil"	"poor"	"sandy"	"quick-drying"	"and"	"subject_to"	"erosion"	"many"	"farmers"	"fail"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
