"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"
"2:30:00::"	"had"	"the"	"dikkat"	"next"	"dikkat_had"	"had_the"	"the_next"	"'_dikkat_had"	"dikkat_had_the"	"had_the_next"	"the_next_knot"	"ε"	"NN"	"VBD"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"b"	"had"	"turn_to"	"the"	"next"	"knot"	"of"	"people"	"when"	"the"	"super-condamine"	"hit"	"mercer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"have"	"similar"	","	"approaches"	",_have"	"have_similar"	"similar_approaches"	"movements_,_have"	",_have_similar"	"have_similar_approaches"	"similar_approaches_."	"NNS"	"ε"	"VBP"	"VB"	"JJ"	"NNS"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"avant-garde"	"choreographers"	"seek"	"new"	"forms"	"of"	"continuity"	"for"	"new"	"vocabulary"	"of"	"movements"	"have"	"turn_to"	"similar"	"approaches"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"and"	"kid_boyd"	","	"."	",_and"	"and_kid_boyd"	"kid_boyd_."	"briefly_,_and"	",_and_kid_boyd"	"and_kid_boyd_."	"kid_boyd_._∅"	"NN"	"ε"	"CC"	"VB"	"NNP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"your"	"choice"	"he"	"say"	"and"	"turn_to"	"kid_boyd"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"accompaniment"	"the"	"orchestral"	"current"	"orchestral_accompaniment"	"accompaniment_the"	"the_current"	"effective_orchestral_accompaniment"	"orchestral_accompaniment_the"	"accompaniment_the_current"	"the_current_musical"	"JJ"	"JJ"	"NN"	"VB"	"DT"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"norman_paris"	"has"	"provide"	"them"	"extremely"	"effective"	"orchestral"	"accompaniment"	"turn_to"	"the"	"current"	"musical"	"season"	"on"	"broadway"	"the_most"	"widely"	"acclaimed"	"of"	"the"	"new"	"arrivals"	"how_to_succeed_in_business_without_really_trying"	"has"	"been"	"transfer"	"to"	"an"	"original"	"cast"	"album"	"r._c._a._victor_loc"	"stereo"	"lso"	"that"	"have"	"some"	"entertaining"	"moments"	"although"	"it"	"be"	"scarcely"	"as"	"inventive"	"as"	"the"	"praise"	"elicit"	"by"	"the"	"show"	"might"	"lead"	"one"	"to"	"expect"	
"2:31:00::"	"∅"	"the"	"∅"	"word_of_god"	"∅_∅"	"∅_the"	"the_word_of_god"	"∅_∅_∅"	"∅_∅_the"	"∅_the_word_of_god"	"the_word_of_god_,"	"ε"	"ε"	"ε"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"word_of_god"	"we"	"find"	"the"	"only"	"sure"	"way"	"to"	"do"	"that"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"should"	"our"	"we"	"effort"	"we_should"	"should_our"	"our_effort"	"then_we_should"	"we_should_our"	"should_our_effort"	"our_effort_to"	"RB"	"PRP"	"MD"	"VB"	"PRP$"	"NN"	"TO"	"such_as"	"economy"	"we"	"are"	"not"	"going_to"	"develop"	"aircraft"	"nuclear"	"propulsion"	"with"	"a"	"sense"	"of"	"national"	"urgency"	"we"	"should"	"our"	"effort"	"to"	"develop"	"jet_engines"	"with"	"a"	"thrust-to-weight"	"ratio"	"of"	"or"	"to"	"one"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:01::"	"he"	"lester"	"∅"	"."	"∅_he"	"he_lester"	"lester_."	"∅_∅_he"	"∅_he_lester"	"he_lester_."	"lester_._∅"	"ε"	"ε"	"PRP"	"VB"	"NNP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"turn_to"	"lester"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"middle_class"	"the"	"the"	"church"	"the_middle_class"	"middle_class_the"	"the_church"	"why_the_middle_class"	"the_middle_class_the"	"middle_class_the_church"	"the_church_as"	"WRB"	"DT"	"NN"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"perplexing"	"question"	"still"	"as"	"to"	"why"	"the"	"middle_class"	"turn_to"	"the"	"church"	"as"	"a"	"vehicle"	"of"	"social"	"identity"	"when"	"their"	"club"	"and"	"charity"	"should"	"fill"	"the"	"same"	"need"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"people"	"camping"	"reason"	"be"	"reason_people"	"people_camping"	"camping_be"	"first_reason_people"	"reason_people_camping"	"people_camping_be"	"camping_be_one"	"JJ"	"NN"	"NN"	"VB"	"NN"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"make"	"no"	"mistake"	"about"	"the"	"first"	"reason"	"people"	"turn_to"	"camping"	"be"	"one"	"of"	"economy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"must"	"the"	"we"	"anthropologist"	"we_must"	"must_the"	"the_anthropologist"	"question_we_must"	"we_must_the"	"must_the_anthropologist"	"the_anthropologist_,"	"NN"	"PRP"	"MD"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"answer"	"to"	"question"	"we"	"must"	"turn_to"	"the"	"anthropologist"	"the"	"biologist"	"the"	"historian"	"the"	"psychologist"	"and"	"the"	"sociologist"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
